Title,Location,start_salary,max_salary,skills
Social Media Marketing,Mumbai,2000,2000,"Digital Marketing, English Proficiency Spoken, Instagram Marketing, Social Media Marketing"
Project Management,Hyderabad,10000,10000,"Effective Communication, MSExcel, Project Management"
Architecture,Bharatpur,3000,10000,"AutoCAD, Autodesk Revit, Google SketchUp"
Human Resources (HR),Noida,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Telecalling,Hyderabad,12000,12000,"Effective Communication, English Proficiency Spoken, Hindi Proficiency Spoken"
Business Development (Sales),Delhi,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written"
Graphic Design,Kochi,5000,5000,Photography
Video Editing/Making,"Thane, Navi Mumbai, Mumbai",10000,10000,"Adobe Premiere Pro, Video Editing, Video Making"
Company Secretary (CS),Work from home,2000,2000,"Accounting, English Proficiency Spoken, English Proficiency Written, MSOffice, MSWord"
Graphic Design,Work from home,5000,15000,"Adobe Photoshop, Canva, Video Editing"
Hosting,Work from home,2000,2000,"Effective Communication, English Proficiency Spoken"
Anchoring,Work from home,1000,1000,Effective Communication
Software Development Engineering (Web),Work from home,24000,24000,"Amazon Web Services AWS, CSS, Django, HTML, JavaScript, Python"
Teaching,Work from home,1000,40000,"English Proficiency Spoken, English Proficiency Written, Online Teaching, Teaching"
Online Marketing,Noida,7000,7000,"English Proficiency Spoken, Interpersonal Skills"
Videography,Work from home,5000,10000,"Photography, Video Editing, Video Making"
Business Development (Sales),Bangalore,15999,21999,"English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Digital Marketing,"Noida, Delhi",10000,15000,"Email Marketing, Facebook Marketing, Instagram Marketing, Video Editing, Video Making"
Node.js Development,Work from home,1000,50000,"Expressjs, HTML, JavaScript, MongoDB, MySQL, Nodejs, ReactJS, REST API"
Animation,Work from home,1000,35000,"Animation, Blender 3D"
Video Editing/Making,Work from home,1000,40000,"Adobe Illustrator, Adobe Premiere Pro, Video Editing, Video Making"
Business Development (Sales),Work from home,4000,10000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Lead Generation, Social Media Marketing"
Video Editing/Making,Work from home,2000,2000,"Adobe Premiere Pro, Canva, Final Cut Pro, Video Editing, Video Making"
Graphic Design,Delhi,7500,7500,"Adobe After Effects, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Premiere Pro, CorelDRAW"
Digital Marketing,Pune,5000,8000,"Creative Writing, Digital Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Information Technology,Chandigarh,10000,10000,"Video Editing, Video Making"
Social Media Marketing,Work from home,2000,2000,"English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing, YouTube Ads"
Content Development (Mathematics),Work from home,2000,2000,"Canva, English Proficiency Written, Mathematics"
Data Entry,Chennai,8000,8000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Management,Noida,12000,18000,"Effective Communication, Market Research"
Marketing,Ranchi,2000,2000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Marketing,Ahmedabad,35000,35000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Human Resources (HR),Delhi,2000,2000,Recruitment
Facebook Marketing,Work from home,5000,5000,Facebook Marketing
Customer Service/Customer Support,Indore,8000,8000,Hindi Proficiency Spoken
Search Engine Optimization (SEO),Delhi,15000,15000,"English Proficiency Written, Google Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO"
E-Commerce Management,Work from home,1000,1000,"CRM, Google AdWords, Google Analytics, Search Engine Optimization SEO"
Graphic Design,Work from home,2000,2000,"Adobe Illustrator, Adobe Indesign, Adobe Photoshop"
Blogging,Work from home,1000,1000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, MSWord, Search Engine Optimization SEO"
Facebook Marketing,Work from home,1000,1000,"Facebook Marketing, Search Engine Optimization SEO"
Digital Marketing,Work from home,1000,2000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Social Media Marketing,Work from home,1000,1000,"Creative Writing, Digital Marketing, English Proficiency Written, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Data Analytics,Work from home,1000,1000,"Data Analytics, Data Science, MSExcel, Power BI, Python, SQL, Tableau"
Google Ads,Work from home,1000,3000,"Digital Marketing, Google AdWords, Google Analytics, Problem Solving"
Subject Matter Expert (SME),Work from home,1000,1000,"Biology, English Proficiency Written"
Graphic Design,Work from home,5000,5000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, UI, UX Design, Video Editing"
Interior Design,Mumbai,12000,20000,"3ds Max, Adobe Photoshop, AutoCAD, Blender 3D, Effective Communication, English Proficiency Spoken, English Proficiency Written, Rhino"
Online Marketing,Work from home,1000,1000,"Algorithms, Market Analysis, Market Research, Search Engine Optimization SEO"
Data Entry,Work from home,1000,1000,"CSS, English Proficiency Spoken, English Proficiency Written, HTML, MSExcel, MSOffice"
Content Writing,Work from home,3000,3000,"Blogging, Creative Writing, English Proficiency Written, Hindi Proficiency Written"
Business Development (Sales),Mumbai,20000,20000,"Client Relationship, Sales, Sales pitch"
Product Marketing,Work from home,6000,6000,"Business Analysis, Business Research, Digital Marketing, English Proficiency Written, MSPowerPoint"
Human Resources (HR),Mumbai,10000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Digital Marketing,Work from home,2000,2000,"Digital Marketing, Email Marketing, Marketing Campaigns, Social Media Marketing"
Telecalling,Mumbai,15000,20000,"Free snacks, beverages"
UGC NET Paper I Content Curator,Work from home,6000,8000,Content Writing
DevOps Engineer,Work from home,10000,10000,"Amazon Web Services AWS, DevOps, Git, GitHub, Jenkins"
Social Media Marketing,Work from home,1500,2000,"English Proficiency Written, Facebook Marketing"
Social Media Marketing,Delhi,12000,12000,Video Making
Customer Service/Customer Support,Bangalore,15000,15000,Hindi Proficiency Spoken
Business Strategy,Work from home,250,250,"Business Analysis, Business Research, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Research and Analytics, Social Media Marketing"
Java Development,Mohali,10000,10000,"Java, Spring MVC"
Graphic Design,"Ghaziabad, Greater Noida",10000,20000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, CorelDRAW"
Business Development (Sales),"Pune, Navi Mumbai",10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Marketing, MSOffice, Sales"
Framer Development,Work from home,2000,5000,"Figma, UI, UX Design"
Computer Vision,Delhi,20000,20000,"Artificial Intelligence, C Programming, Computer Vision, C Programming, Deep Learning, Git, Linux, Machine Learning, OpenCV, Python, Robotics"
Product Management,Noida,15000,15000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Operations, Product Lifecycle ManagementPLM, Product Management"
Sales Consultant,Work from home,8000,8000,"English Proficiency Spoken, English Proficiency Written, Sales"
Business Development (Sales),Ahmedabad,6000,15000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Teaching (Chess),"Thane, Navi Mumbai",13000,13000,"Effective Communication, Interpersonal Skills, Teaching"
Android App Development,Work from home,1000,1000,"Firebase, Kotlin, Python, XML"
Social Media Marketing,Delhi,5000,5000,"Content Writing, Creative Writing, Facebook Marketing, Hindi Proficiency Spoken, Hindi Proficiency Written, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing"
Graphic Design,Kolkata,4500,4500,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, CorelDRAW, Video Editing"
Python Development,Kerala,8000,12000,Python
Customer Service/Customer Support,Mumbai,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, MSExcel, MSOffice"
Data Entry,Bangalore,10000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Python Development,"Chennai, Pune, Bangalore, Hyderabad, Mumbai",8000,12000,Python
Content Writing,"Delhi, Noida",12000,15000,"Creative Writing, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO, Social Media Marketing"
Blogging,Work from home,1000,1000,"Blogging, Content Writing, Creative Writing, English Proficiency Written, Research and Analytics, Search Engine Optimization SEO"
Investment Banker,Work from home,5000,5000,"Effective Communication, Financial Modeling, MSPowerPoint, Research and Analytics"
Video Editing/Making,Mumbai,3500,3500,"Canva, Instagram Marketing, Video Editing, Video Making"
Java Development,"Chennai, Pune",8000,12000,Java
Java Development,"Delhi, Bangalore, Hyderabad, Mumbai",8000,12000,Java
Java Development,"Delhi, Bangalore, Hyderabad, Mumbai",8000,12000,Java
Digital Marketing,Vadodara,10000,18000,"Digital Marketing, Facebook Ads, Google AdWords, Search Engine Marketing SEM, Social Media Marketing"
Transcription - Marathi Language (Typing),Work from home,9000,15000,"Content Writing, Creative Writing, English Proficiency Spoken, English Proficiency Written, Marathi ProficiencySpoken, Marathi ProficiencyWritten, Proofreading, Quality AssuranceQuality Control QAQC, Transcription"
Social Media Marketing,Bangalore,15000,15000,"Digital Marketing, Facebook Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Social Media Marketing,"Chennai, Coimbatore, Guntur, Kurnool, Madurai, Tirupati, Visakhapatnam, Mumbai, Kanchipuram, Jaipur, Kakinada, Salem, Vellore, Vishakhapatnam, Maharashtra",6000,6000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Human Resources (HR),Varanasi,6000,8000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Market Research,Bangalore,15000,15000,"Business Analysis, English Proficiency Spoken, English Proficiency Written, MSOffice, Research and Analytics, Search Engine Marketing SEM, Search Engine Optimization SEO"
Business Development (Sales),"Delhi, Noida",5000,5000,"Client Interaction, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, LinkedIn Marketing, Social Media Marketing"
Executive Assistant (To The Owner),Kolkata,5000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, MSExcel, MSWord"
Social Media Marketing,Work from home,3000,3000,"Content Marketing, Social Media Marketing"
Telecalling,Work from home,2000,2000,"English Proficiency Spoken, Hindi Proficiency Spoken"
Interior Design,Gaya,8000,10000,"3ds Max, Adobe Photoshop, AutoCAD, Google SketchUp"
Business Development (Sales),"Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida",5000,5000,"Canva, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Social Media Marketing,Jaipur,6000,6000,"Creative Writing, Facebook Marketing, Instagram Marketing"
Product Marketing,Jaipur,10000,10000,English Proficiency Spoken
Telecalling,Work from home,5000,10000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Human Resources (HR),Gurgaon,2000,2000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Social Media Marketing,Work from home,3000,5000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Facebook Ads, Facebook Marketing, Instagram Marketing, Social Media Marketing"
YouTube Shorts Editor,Work from home,3000,3000,"Adobe Creative Suite, Adobe Flash, Adobe Illustrator, Adobe Indesign, Canva, Video Editing"
Social Media Marketing,Work from home,1000,1000,"Canva, Content Writing, Creative Writing, Digital Marketing, Email Marketing, English Proficiency Written, Instagram Marketing, LinkedIn Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Business Development And Partnership,Bangalore,5000,10000,"Effective Communication, Kannada Proficiency Spoken, Negotiation, Problemsolving"
Interior Design,"Faridabad, Delhi, Gurgaon, Sonipat, Greater Noida, Gautam Buddha Nagar, Noida, Pitampura",10000,10000,Autodesk Revit
Business Development (Sales),Delhi,4650,7500,"Business Research, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Social Media Marketing"
Marketing,Work from home,2000,2000,"Digital Marketing, Effective Communication, English Proficiency Spoken, Social Media Marketing"
Social Media Marketing,Bangalore,10000,10000,"Instagram Marketing, Photography, Social Media Marketing, Video Editing"
Customer Service/Customer Support,Hyderabad,15000,15000,"Effective Communication, English Proficiency Spoken, Interpersonal Skills, MSOffice"
Content Writing,Work from home,6000,12000,"Blogging, Creative Writing, English Proficiency Spoken, English Proficiency Written, Search Engine Optimization SEO"
Executive Assistance (US Clients),Work from home,5000,5000,"English Proficiency Spoken, English Proficiency Written"
Data Analytics,Chennai,10000,10000,"Data Analytics, MSExcel"
Social Media Marketing,Work from home,5000,5000,"Canva, Digital Advertising, Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSOffice"
Social Media Marketing,Work from home,8000,10000,"Content Writing, Copywriting, Design Thinking, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Video Editing"
Graphic Design,"Ahmedabad, Gandhinagar, Vadodara",8000,10000,"Adobe Creative Suite, Adobe Illustrator, Adobe Photoshop, CorelDRAW, Figma, Video Editing"
Social Media Marketing,Work from home,2000,2000,"Content Writing, Facebook Marketing, Instagram Marketing, Search Engine Optimization SEO, Social Media Marketing, Video Editing"
Digital Marketing,"Chennai, Delhi, Hyderabad",8000,12000,"Content Marketing, Search Engine Optimization SEO, Social Media Marketing"
Human Resources (HR),Chennai,2000,5000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Digital Marketing,"Pune, Hyderabad, Mumbai",8000,12000,"Content Marketing, Search Engine Optimization SEO, Social Media Marketing"
Digital Marketing,"Chennai, Bangalore, Hyderabad",8000,12000,"Content Marketing, CRM, Search Engine Optimization SEO"
E-Commerce Management,Work from home,8000,12000,"Canva, Digital Marketing, Facebook Ads, Facebook Marketing, Google Analytics, Marketing Campaigns, Market Research, Video Editing, Video Making"
Digital Marketing,"Hyderabad, Mumbai",8000,12000,"Content Marketing, Search Engine Optimization SEO, Social Media Marketing"
Human Resources (HR),"Chennai, Pune, Hyderabad",8000,12000,"Effective Communication, Problem Solving, Time Management"
Human Resources (HR),Noida,15000,15000,"English Proficiency Spoken, English Proficiency Written, Human Resource Information System HRIS, MSExcel, MSOffice, MSWord"
Human Resources (HR),"Hyderabad, Mumbai",8000,12000,"Effective Communication, Interpersonal Skills, Time Management"
Program Assistance,Work from home,1500,10000,"Accounting, Effective Communication, English Proficiency Spoken, English Proficiency Written, Google Analytics, Market Analysis, Marketing, Marketing Campaigns, Performance Management System, Product Management, Sales"
Videography & Video Editing,Bangalore,15000,30000,"Adobe Photoshop, Anchoring, Canva, Photography, Video Editing, Video Making"
Market Research,Work from home,1600,3500,"Database Management System DBMS, English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, MSExcel, MSOffice, MSWord, Research and Analytics"
Front End Development,Work from home,10000,10000,"Bootstrap, Git, HTMLCSS, JavaScript, MEANMERN Stack, ReactJS, Redux"
Human Resources (HR),Work from home,5000,8000,"Effective Communication, English Proficiency Spoken, Google Workspace, Recruitment"
Recruitment Consultant,Work from home,5000,10000,"English Proficiency Spoken, Recruitment"
Digital Marketing,Noida,15000,15000,"Email Marketing, Facebook Marketing, Google AdWords, Instagram Marketing, Social Media Marketing"
Human Resources (HR),Work from home,3000,8000,"English Proficiency Spoken, English Proficiency Written"
Architectural Research Assistant,"Pune, Srinagar",15000,20000,"Adobe After Effects, Adobe Indesign, Adobe Photoshop, AutoCAD, Canva, Google SketchUp, MSOffice"
Online Tamil Faculty For School Kids,Work from home,5000,8000,"Online Teaching, Tamil Proficiency Spoken, Tamil Proficiency Written"
Media & Public Relations (PR),Work from home,7000,10000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Event Management"
Social Work,Work from home,1500,10000,"Advanced Excel, Data Analysis, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, MSOffice, Problem Solving, Product Strategy, Project Management, Social Media Marketing, Time Management"
Video Editing/Making,Work from home,8000,8000,"Adobe After Effects, Adobe Premiere Pro, Video Editing"
Social Outreach,Work from home,1500,10000,"Advanced Excel, Business Analysis, Business Research, Digital Marketing, Effective Communication, English Proficiency Spoken, English Proficiency Written, Market Analysis, MSExcel, Research and Analytics, Social Media Marketing, Time Management"
Marketing Associate,Work from home,1500,10000,"Advanced Excel, Business Analysis, Business Research, Content Marketing, Data Analysis, Digital Marketing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Market Analysis, Marketing, Marketing Programs, MSOffice, Social Media Marketing"
Business Development (Sales),Work from home,10000,20000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Negotiation, Problemsolving, Sales"
Digital Marketing,Work from home,1500,10000,"Business Research, Content Marketing, Creative Writing, Design Thinking, Digital Marketing, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Accounting,Chennai,6000,6000,Accounting
Telecalling,Work from home,8000,8000,"English Proficiency Spoken, Marketing, Sales"
Digital Marketing,Gurgaon,20000,20000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Google AdWords, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Business Development (Sales),"Bhubaneswar, Mumbai",20000,20000,"Digital Marketing, Email Marketing, English Proficiency Spoken, Sales, Sales pitch, Social Media Marketing"
Social Media Marketing,Delhi,6000,10000,"Email Marketing, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Python Developer/ Product Management,Panaji,20000,20000,"MSExcel, MSOffice, MSPowerPoint, MSWord, Python"
Human Resources (HR),Noida,10000,10000,English Proficiency Spoken
Education Counselor,Work from home,5000,5000,"Effective Communication, Lead Generation"
Desktop Engineer,Mumbai,5000,5000,Network Security
Business Development (Sales),"Faridabad, Delhi, Gurgaon, Greater Noida, Noida",5000,10000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Market Analysis, Marketing Strategies, Sales pitch, Social Media Marketing"
Quality Check,Mumbai,10000,10000,"Effective Communication, English Proficiency Written, MSExcel, MSOffice, MSWord"
Telecalling,Kolkata,5000,5000,"English Proficiency Spoken, Hindi Proficiency Spoken"
Artificial Intelligence (AI),Work from home,8000,8000,"Artificial Intelligence, Computer Vision, Deep Learning, Machine Learning, Natural Language Processing NLP, Python"
Human Resources (HR),Indore,2000,2000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Digital Marketing,Ahmedabad,8000,8000,"Creative Writing, Digital Marketing, Facebook Marketing, Search Engine Optimization SEO, Social Media Marketing"
WordPress Development,Work from home,4000,4000,"CSS, HTML, JavaScript, Search Engine Optimization SEO, WordPress"
Software Development Engineering (Web),Pune,3000,3000,"CSS, HTML, Java, JavaScript, Nextjs"
Database Building/Management,Mumbai,2000,2000,"MSExcel, MSOffice, MSWord"
Trading,Work from home,2000,2000,Data Analysis
Lead Generation,Work from home,10000,10000,"Client Interaction, Client Relationship, English Proficiency Spoken, Lead Generation"
Business Development (Sales),Mumbai,10000,20000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel"
Business Development (Sales),Bhopal,3500,3500,"Canva, Digital Marketing, Effective Communication, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, MSPowerPoint, Social Media Marketing"
Digital Marketing,Gurgaon,35000,35000,"Digital Marketing, Facebook Marketing, Social Media Marketing"
Business Development (Sales),Chennai,8000,8000,"Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Social Media Marketing,Work from home,2000,2000,"Canva, Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Business Development (Sales),Bangalore,5000,10000,Effective Communication
Customer Service/Customer Support,Chennai,5000,7000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice"
Business Strategy,Work from home,5000,5000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSPowerPoint, Research and Analytics"
Sales,Work from home,250,250,"Marketing, Sales pitch"
Business Development (Sales),Chennai,2000,2000,"Email Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Social Media Marketing"
Volunteering,"Delhi, Gurgaon",1000,1000,English Proficiency Spoken
Video Editing/Making,Work from home,5000,5000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Video Editing, Video Making"
Search Engine Optimization (SEO),Work from home,10000,10000,Search Engine Optimization SEO
Event Management,Indore,5000,10000,"English Proficiency Spoken, English Proficiency Written, Event Management, MSOffice"
Business Development (Sales),Bangalore,10000,10000,"Digital Marketing, Email Marketing, English Proficiency Spoken, MSExcel, Sales, Social Media Marketing"
Social Media Marketing,Mumbai,3000,7000,"Digital Marketing, Email Marketing, English Proficiency Written, Instagram Marketing, Lead Generation, Search Engine Optimization SEO, Social Media Marketing"
Video Editing/Making,Work from home,7000,7000,"Final Cut Pro, Video Editing"
Human Resources (HR),Nagpur,3000,3000,"English Proficiency Spoken, English Proficiency Written, MSOffice"
Human Resources (HR),Bangalore,15000,15000,"Data Analytics, MSExcel, Power BI"
Search Engine Optimization (SEO),Nagpur,2500,2500,Search Engine Optimization SEO
Architect,Noida,7000,7000,"AutoCAD, Google SketchUp"
Social Media Marketing,Jodhpur,10000,13000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
UI/UX Design,Work from home,5000,5000,"Figma, UI, UX Design"
Copywriting,Bangalore,15000,15000,"Copywriting, Creative Writing, English Proficiency Written, Research and Analytics"
Content Writing,Work from home,5000,10000,"Blogging, Creative Writing, Digital Marketing, English Proficiency Written, Marketing"
Video Editing/Making,Work from home,5000,5000,"Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro, Final Cut Pro, Video Editing, Video Making"
Operations & Marketing,Mumbai,10000,10000,"MSOffice, Social Media Marketing"
Photography,Mumbai,5000,5000,"Adobe Photoshop, Adobe Photoshop Lightroom CC, Canva, Client Interaction, Effective Communication, Operations, Photography, Time Management"
Product Management,Navi Mumbai,12000,12000,"English Proficiency Spoken, Product Lifecycle ManagementPLM, Product Management"
Business Development (Sales),Shimla,2000,2000,"English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Hindi Proficiency Written, Marketing, MSExcel, Sales"
Video Editing/Making,Badami,10000,10000,"Adobe After Effects, Adobe Premiere Pro, Video Editing, Video Making"
Human Resources (HR),Indore,10000,10000,"Effective Communication, English Proficiency Spoken"
Growth Navigator (North Region),Work from home,2000,5000,"Effective Communication, Social Media Marketing"
Social Media Marketing,Noida,8000,10000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Human Resources (HR),Gurgaon,5000,5000,"English Proficiency Spoken, English Proficiency Written, MSExcel"
Graphic Design,Work from home,6000,6000,"Adobe After Effects, Adobe Creative Suite, Adobe Illustrator, Adobe Indesign, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro, CorelDRAW, UI, UX Design, Video Editing"
Content Writing,Work from home,8000,8000,"Creative Writing, Digital Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Social Media Marketing"
Lead Generation,Noida,10000,10000,"Email Marketing, English Proficiency Spoken, Lead Generation, LinkedIn Marketing, Sales, Social Media Marketing"
Social Media Marketing,Delhi,8000,8000,"English Proficiency Written, Facebook Marketing, Instagram Marketing, Photography, Search Engine Optimization SEO, Social Media Marketing"
Sales,Work from home,3500,6500,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Hindi Proficiency Spoken, Negotiation, Problemsolving, Sales, Sales pitch"
Human Resources (HR),Noida,10000,10000,"English Proficiency Spoken, MSOffice"
Digital Marketing,Work from home,7500,7500,"Facebook Marketing, Instagram Marketing, Search Engine Optimization SEO, YouTube Ads"
Human Resources (HR),Work from home,2000,2000,English Proficiency Spoken
Social Media Marketing,Work from home,2000,2000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Graphic Design,Bangalore,5000,5000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Photoshop Lightroom CC, Adobe Premiere Pro"
Business Development (Sales),Gurgaon,10000,10000,"Effective Communication, English Proficiency Spoken, English Proficiency Written, Negotiation, Problemsolving"
Marketing,Pune,22000,22000,"English Proficiency Spoken, MSExcel, MSOffice"
Digital Marketing,Work from home,5000,9000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Written, Facebook Marketing, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Videography,"Thane, Mumbai",8000,8000,"Photography, Video Editing, Video Making"
Graphic Design,Gurgaon,10000,10000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Adobe Premiere Pro"
Digital Marketing,Mumbai,3000,3000,"Creative Writing, Digital Marketing, Email Marketing, English Proficiency Spoken, Instagram Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
Business Development (Sales),Ahmedabad,8000,8000,"Email Marketing, English Proficiency Spoken, English Proficiency Written"
Recruitment,Bangalore,10000,10000,"English Proficiency Spoken, English Proficiency Written, Google Suite G Suite, MSExcel"
Social Media Marketing,Delhi,5000,5000,"Creative Writing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Photography, Social Media Marketing, Video Editing, Video Making"
Business Development (Sales),Pune,7000,7000,"Digital Marketing, Display Advertising, English Proficiency Spoken, English Proficiency Written, Marketing, Marketing Strategies, Sales, Social Media Marketing"
Recruitment,Pune,12000,17000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, Recruitment"
Content Creator,Noida,8000,8000,"Adobe After Effects, Adobe Illustrator, Adobe Photoshop, Blogging, Copywriting, MSOffice, Problem Solving"
Product Design,Bangalore,10000,10000,MSExcel
Social Media Marketing,Mumbai,6000,8000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, Instagram Marketing, Social Media Marketing"
Sales Executive,"Gurgaon, Mohali",21000,21000,"Effective Communication, Sales, Sales pitch"
Digital Marketing,Pune,10000,10000,"Digital Marketing, Email Marketing, Lead Generation, LinkedIn Marketing, Search Engine Marketing SEM, Search Engine Optimization SEO, Social Media Marketing"
PHP Development,Chennai,5000,5000,"LARAVEL, PHP"
Human Resources,"Agra, Delhi, Gurgaon, Jaipur, Noida, Mathura",3000,12000,"English Proficiency Spoken, English Proficiency Written, MSExcel, MSOffice, MSWord"
Business Development (Sales),Chennai,15000,15000,"English Proficiency Spoken, Sales"
Business Development (Sales),"Mysuru, Hubli, Bangalore",6000,6000,"CRM, Effective Communication, Kannada, Negotiation, Problemsolving, Sales pitch"
Talent Acquisition,Noida,8000,8000,"Employment engagement, English Proficiency Spoken, English Proficiency Written, MSExcel, MSWord, Problem Solving, Recruitment, Time Management, Training And Development"
Telegram Assistant,Work from home,1000,1000,"Canva, Effective Communication, English Proficiency Spoken, English Proficiency Written, Time Management"
Business Strategy,Noida,5000,5000,"Google Workspace, MSExcel, MSWord"
Business Development (Sales),Bangalore,10000,10000,"Digital Marketing, English Proficiency Spoken, English Proficiency Written, MSExcel, Social Media Marketing"
Marketing,Delhi,10000,10000,"Email Marketing, English Proficiency Spoken, Social Media Marketing"
